Abstract,IsLitigated
" A financial securitization transaction, such as a collateralized debt obligation (CDO) transaction, that (i) is at least partially collateralized by a plurality of net lease assets where the tenants to the leases are financial institutions generally with assets of less than $10 billion, and (ii) where such securitization may not be fully collateralized by such net lease assets, in which case the remainder of the collateral for such securitization may consist predominantly of obligations (including trust preferred securities, debt and/or surplus notes) of financial institutions, and/or traunches of CDOs backed predominantly by such obligations. By restricting the assets to net lease assets in which the tenants are financial institutions and restricting the remaining assets to predominately obligations of financial institutions or tranches of CDOs backed by such obligations, more favorable ratings are obtainable from the ratings agencies for the securities backed by the net lease assets. In accordance with an important aspect of the present invention, the ratings of the debt securities of the securitization rely on the aggregate pooled credit quality of the multiple financial institutions backing the various net lease assets and the geographic diversity of such financial institutions, instead of on the explicit investment ratings of any one of the individual obligors in the pool. In accordance with another important aspect of the present invention, as opposed to the typical 5%-10% recovery rate assumed for traditional financial institution collateral used in pooled financial institution obligation CDO transactions, the net lease assets are collateralized by property, which translates into a materially higher assumed recovery rate, for example, in excess of 40%. Through the mechanism of the balloon payment provider (which is also an important aspect of the present invention), the net lease assets do not require residual value insurance and the need for equity capital is significantly reduced or even eliminated. ",Yes
" A load control system 100 for controlling the amount of power delivered from an AC power source to a plurality of electrical loads includes a plurality of independent units 110, 112, responsive to a broadcast controller 180. The independent units 110, 112 may be installed, for example, in separate and at least partially-enclosed rooms in a common building and may be adjacent to each other. Each independent unit 110, 112 includes at least one commander and at least one energy controller for controlling at least one of the electrical loads in response to a control signal received from the commander. The energy controllers (i.e., load control devices) of the first independent unit 110 may comprise, for example, a dimmer switch 210, a plug-in load control device 220, a temperature control device 230, and a contact-closure output pack 240. The commanders of the first independent unit 110 may comprise a remote controller 250, an occupancy sensor 260, and a temperature sensor 270. The energy controllers of the second independent unit 112 may comprise a digital ballast controller 310, a motorized window treatment 320, and a temperature control device 330. The commanders (i.e., wireless transmitters) of the second independent unit 112 may comprise a battery-powered remote control 350, an occupancy sensor 360, and a daylight sensor 370. The broadcast controller 180 transmits wireless signals to the energy controllers of the independent units. The energy controllers operate in different operating modes in response to the wireless signals transmitted by the broadcast controller and are configured to prioritize signal received from the broadcast controller over the signal received from a commander. The operating modes may correspond to demand response compliance requirements received by the broadcast controller from an electric utility 183 or from a demand response remote control 186. ",No
" Ongoing growth in transport demand is served while deferring or eliminating expenditure for additional capacity by reclaiming the protection capacity and inefficiently used working capacity in existing multi-ring network. Reclamation is through re-design of the routing and restoration in the network using mesh principles within the pre-existing ring capacities. The installed working and protection capacity of existing rings is viewed as a sunk investment, an existing resource, to be   mined   and incorporated into a mesh- operated network that serves both existing and ongoing growth. Three ways of approaching the idea are given. The last is a detailed planning model for minimum cost evolution out to a given total growth multiplier (or a scenario of individual future growth multipliers on each O-D pair) that considers the costs of new mesh capacity additions, nodal costs for mesh access to existing ring working and protection capacity and selective ADM conversions and re-use decisions. Depending on details of the initial ring network design, results show that in some cases a complete doubling or even tripling of demand could be supported with little or no additional capacity investment through the period of ring-to-mesh conversion by ring-mining. The strategy may mean that an operator that could handle the administrative process of conversion could access the opportunity to grow their business for a year or more without capital additions for transport capacity. This re-capture of existing installed protection capacity for conversion to service-bearing use would be a one time business strategy opportunity made possible by a ring mining conversion from ring to mesh. The option is also given to mine the existing ring set to a target architecture of   p-cycles   instead of a span-restorable mesh, through placement of straddling span interface units to convert ring ADMs to p-cycle nodal elements. ",No
" A library checking system for use with books provided with RFID tags comprises a terminal 1 incorporating a housing 15 within which a book is contained during checking, and an identification antenna 17 for detecting the RFID tag of the book while within the housing 15 and for supplying a signal identifying the book to a central processor. A book slot 2 through which the book is insertable for checking opens into the housing 15, and an output from the housing 15 is provided through which the book is discharged to a pick-up area in the event of the book being passed by the central processor as available for borrowing. A pivotable bookdrop flap 14 is provided within the housing 15 on which the book is supported during detection by the identification antenna 17, the flap 14 being pivotable to cause the book to drop into a bookdrop bin 12 in the event of the book not being passed by the central processor as available for borrowing. Such a system enables a book or other borrowable item to be automatically issued to a user when the item is passed by the central processor as being available for borrowing. In this case the user may collect the book from the pick-up area and can take the book out of the library without any manual checking system being required. In the event that the book is found not to be available for borrowing, for example because the book has been reserved by another user or a payment is outstanding, the book is automatically passed to a secure receptacle, thus preventing the user from borrowing the book and enabling the book to be manually returned to the required library location in due course.| ",Yes
" A unitary investment instrument combining a swap and a structured note, both of which provide multiple utilization of capital. The unitary instrument has three performance components. An investor invests in the issuer the principal amount of the structured note component. The structured note provides its own portfolio exposures as well as serving as collateral for the base benchmark portfolio swap (alternatively, the base benchmark portfolio exposure can be acquired through a separate collateral deposit on the investor's own portfolio). The first component is a benchmark portfolio, which in one preferred embodiment is a financial or stock index such as the S&amp;P 500 Stock Index. The second component is an incremental benchmark portfolio keyed to the same benchmark index and the third component is keyed to a passive commodity index, having long and short positions, which in one preferred embodiment is the Mount Lucas Management Commodity Index. The instrument's passive commodity index exposure is established as the product of a leverage factor and the amount of the benchmark portfolio exposure; thereafter this exposure may be the product of (1) a leverage factor and/or (2) the change in value of the overall investment, the benchmark component and/or the commodity index component. The basic return to the investor comprises the change in value of the benchmark, the incremental benchmark and the passive commodity index exposure over a predetermined period of time. The structured note component of the investment instrument includes a guarantee of the return of the investment principal; the swap does not do so, but rather reflects the full risk of the benchmark portfolio exposure. However, research indicates that the unitary swap/structured note instrument has an unusually high probability of outperforming the benchmark index across a wide range of market cycles. ",No
" A method of making cash payments in a vehicle parking system in which a mobile telephone ( 1 ) is used to commence and terminate parking of a vehicle, and where a telephone user sends at least one code to a receiving computer ( 2 ) belonging to the parking system via said mobile telephone upon commencement and termination of a parking period. The invention is characterised in that there is used a start packet which includes a user specific code ( 7 ), a one-time code, such as a PIN code, a telephone number to said computer ( 2 ), and a statement as to the amount of money available for parking purposes; in that when connecting to the parking system, the mobile telephone ( 1 ) is caused to be connected to said computer ( 2 ) via said telephone number, whereafter the user specific code ( 7 ) and the one-time code are caused to be sent to said computer by means of the mobile telephone; in that said computer ( 2 ) is caused to detect and store the number of the mobile telephone ( 1 ); in that said computer is caused to compare the user specific code and the one-time code; in that when agreement is found between the user specific code and the one-time code, the user specific code is stored together with the number of the mobile telephone and the amount of money available for parking purposes; and in that commencement and termination of a parking period are respectively initiated by causing the mobile telephone ( 1 ) to be connected to a predetermined telephone number belonging to said computer ( 2 ). ",Yes
" It is an object of this invention to provide an apparatus that selects and specifies an optimal operating method for plant equipment while estimating risk-cost that relates to damage, performance deterioration, and functional stoppage, of the plant equipment, and comparing the risk-cost with profit gained from operation. To achieve the above objects, the apparatus comprises an operation request input unit that inputs information relating to operation request items of the plant equipment; an operating conditions setting unit that converts operation request input information, input by the operation request input unit, to operating parameters; an operation history creation unit that creates an operation history by chronologically processing the operating parameters, converted by the operating conditions setting unit, based on input from an operation monitoring unit that monitors operating states of the plant equipment; a breakdown statistics database that stores an event tree of the plant equipment in correlation with degrees of unreliability relating to breakdown events; an event simulator that calculates the degree of unreliability corresponding to the operating parameters, based on the information in the breakdown statistics database, the operation request information, and the operation history information, and in compliance with the event tree of the plant equipment; a risk-cost calculation unit that calculates risk-cost by determining the aggregate product of the degrees of unreliability and restoration costs in compliance with the event tree; an operating method determination unit that determines whether operating conditions are suitable by comparing the risk-cost with profit that is expected to be gained by continuing operation; and an operating method specification unit that specifies specific operation conditions for the plant equipment in accordance with the operating method determined by the operating method determination unit. ",Yes
" An open network system for supporting input/output (I/O) operations for non-standard I/O devices are disclosed. The system includes a server coupled to a plurality of I/O devices through an open network and an extended open system protocol that supports communication with devices that are not personal computers (PCs). These devices include magnetic stripe readers, check readers, smart card readers, credit card terminals, screen phone terminals, PIN pads, printers, and the like. The extended open network protocol includes tags which identify device and input operations and attributes which identify the location, data exchange method, and data variable names for the retrieval, acquisition, and submission of data between the server and I/O devices. Preferably, the open network protocol is implemented in a Hyper Text Transport Protocol (HTTP). Preferably, the system includes a common gateway interface (CGI) at the server which converts protocol statements communicated between the server and I/O devices to application language statements for providing data to an application program coupled to the server. Most preferably, the application statements and protocol statements are constructed in integrated statements with an editor. The editor ensures that data identifiers in the application and protocol statements are compatible. The integrated statements are then parsed by the editor to segregate the protocol statements from the application statements. The protocol statements are downloaded in a file to a client program at an I/O device for processing. The application statements are stored in a file for use by the application. In this manner, generation of the files for client and application processing are automatically done without the user ensuring the correlation of the data fields in the two files. ",No
" An open network system for supporting input/output (I/O) operations for non-standard I/O devices are disclosed. The system includes a server coupled to a plurality of I/O device through an open network and an extended open system protocol that supports communication with devices that are not personal computers (PCs). These devices include magnetic stripe readers, check readers, smart card readers, credit card terminals, screen phone terminals, PIN pads, printers, and the like. The extended open network protocol includes tags which identify device and input operations and attributes which identify the location, data exchange method, and data variable names for the retrieval, acquisition, and submission of data between the server and I/O devices. Preferably, the open network protocol is implemented in a Hyper Text Transport Protocol (HTTP). Preferably, the system includes a common gateway interface (CGI) at the server which converts protocol statements communicated between the server and I/O devices to application language statements for providing data to an application program coupled to the server. Most preferably, the application statements and protocol statements are constructed in integrated statements with an editor. The editor ensures that data identifiers in the application and protocol statements are compatible. The integrated statements are then parsed by the editor to segregate the protocol statements from the application statements. The protocol statements are downloaded in a file to a client program at an I/O device for processing. The application statements are stored in a file for use by the application. In this manner, generation of the files for client and application processing are automatically done without the user ensuring the correlation of the data fields in the two files. ",No
" In a method of selling custom window coverings of the type which are made in sizes based upon dimensions provided by a customer, two sources of supply who can manufacture the same selected custom window coverings are established. The first source of supply is located a first distance from a point at which the custom window coverings are sold and is capable of manufacturing the custom window coverings at a first cost. The second source of supply is located a second shorter distance from the point at which the custom window coverings are sold and is capable of manufacturing the same custom window coverings at a second cost. When the custom window covering is delivered by a delivery means not involving air transport, the delivery time from the first source of supply is at least one day longer than a delivery time from the second source of supply. The retailer offers each of the custom window coverings at a first price and a higher second price. Each price is associated with a delivery date or estimated delivery date. The first delivery date is available if the customer pays the first price, and at a second delivery date later than the first delivery date if the customer pays the second price. The retailer obtains the custom window covering from the first source of supply if the customer selects the first price and first delivery schedule. If customer selects the second price and second delivery schedule the retailer obtains the custom window covering from the second source of supply. Then the retailer delivers the custom window covering to the customer and receives payment. ",Yes
" A system and method for providing a user with a portable benefit, within a qualified or non-qualified defined contribution plan, based on a formula the result of which indicates the exact guaranteed minimum periodic income that the user will receive no matter how long the user lives and the potential for an increase in the periodic income based on excess investment performance over the formula of the designated defined benefit investment options is disclosed. The system comprises a defined contribution module for periodically receiving at least one of a sponsor contribution and a participant contribution and for accumulating value over a period of time by investing at least one of the sponsor contribution and the participant contribution or any portion(s) thereof in any number of select investment options, the accumulated value, or any portion(s) thereof, being capable of: (1) being withdrawn at any time and reinvested in any other select investment options, and (2) being paid out after a predetermined period of time; and wherein the select investment options comprises any number of investment products and at least one designated defined benefit investment option module for: (1) receiving at least one investment payment from the defined contribution module, the investment payment comprising at least one of the sponsor contribution, the participant contribution, and/or the accumulated value, or any portion(s) thereof, (2) for paying out a guaranteed minimum income payment for life after the predetermined period of time, the guaranteed minimum income payment being based on a retirement income formula, and (3) increasing the income payment for life for excess performance over the formula of the designated defined investment option. ",Yes
